email_text,category
Hiring QA engineers experienced in Selenium and automated testing.,QA
We need a front-end developer proficient in React and Tailwind CSS.,UI
We need a quality assurance specialist with experience in JIRA and TestRail.,QA
Hiring data scientists skilled in machine learning and model deployment.,ML
Looking for a software tester to perform manual and automated testing.,QA
Seeking a test engineer to develop end-to-end test frameworks.,QA
"Join our team as a UI developer, working with Angular and TypeScript.",UI
"Join our team as a UI developer, working with Angular and TypeScript.",UI
Join our AI team to develop deep learning solutions for image recognition.,ML
Seeking ML experts with experience in LLM fine-tuning and embeddings.,ML
Looking for a software tester to perform manual and automated testing.,QA
Looking for a software tester to perform manual and automated testing.,QA
Seeking a test engineer to develop end-to-end test frameworks.,QA
Looking for a UI/UX designer to create intuitive user experiences.,UI
Seeking a test engineer to develop end-to-end test frameworks.,QA
Join our AI team to develop deep learning solutions for image recognition.,ML
Looking for a software tester to perform manual and automated testing.,QA
We need a front-end developer proficient in React and Tailwind CSS.,UI
Join our QA team to work on performance testing and test automation.,QA
We need a quality assurance specialist with experience in JIRA and TestRail.,QA
Seeking a test engineer to develop end-to-end test frameworks.,QA
Seeking a front-end engineer to optimize user interfaces for mobile apps.,UI
Looking for a software tester to perform manual and automated testing.,QA
We need a front-end developer proficient in React and Tailwind CSS.,UI
Looking for a software tester to perform manual and automated testing.,QA
Seeking a test engineer to develop end-to-end test frameworks.,QA
Join our QA team to work on performance testing and test automation.,QA
Join our AI team to develop deep learning solutions for image recognition.,ML
Hiring data scientists skilled in machine learning and model deployment.,ML
Looking for a software tester to perform manual and automated testing.,QA
Hiring data scientists skilled in machine learning and model deployment.,ML
Join our QA team to work on performance testing and test automation.,QA
Hiring data scientists skilled in machine learning and model deployment.,ML
Exciting opportunity for an NLP specialist to work on language models.,ML
We need a front-end developer proficient in React and Tailwind CSS.,UI
We need a quality assurance specialist with experience in JIRA and TestRail.,QA
Exciting opportunity for an NLP specialist to work on language models.,ML
Join our QA team to work on performance testing and test automation.,QA
Hiring web designers with expertise in Figma and Adobe XD.,UI
We are looking for an ML Engineer with experience in PyTorch and TensorFlow.,ML
"Join our team as a UI developer, working with Angular and TypeScript.",UI
Seeking a front-end engineer to optimize user interfaces for mobile apps.,UI
Hiring data scientists skilled in machine learning and model deployment.,ML
Looking for a software tester to perform manual and automated testing.,QA
Seeking a test engineer to develop end-to-end test frameworks.,QA
Seeking a test engineer to develop end-to-end test frameworks.,QA
Join our AI team to develop deep learning solutions for image recognition.,ML
Seeking ML experts with experience in LLM fine-tuning and embeddings.,ML
"Join our team as a UI developer, working with Angular and TypeScript.",UI
We need a quality assurance specialist with experience in JIRA and TestRail.,QA
